original_feature,feature_name,coefficient,abs_coefficient,p_value,confint_lb,confint_ub,pseudo_r2,individual_auc,individual_log_loss
discharge_disposition_id,discharge_disposition_id_28,1.4092781508023984,1.4092781508023984,0.0,1.0875036776786582,1.7310526239261386,0.0009515461353268861,0.501820191799987,0.6924876190390707
admission_source_id,admission_source_id_2,-0.06972372306918104,0.06972372306918104,0.35131155036955297,-0.21634406152565933,0.07689661538729725,3.4695610190427217e-06,0.5002250489116918,0.6931447756435072
admission_source_id,admission_source_id_3,0.21348382472457933,0.21348382472457933,0.17628578051439248,-0.09593673152294485,0.5229043809721035,8.492266798343362e-05,0.500512598818769,0.6930883166520669
admission_source_id,admission_source_id_4,-0.15020259053426316,0.15020259053426316,0.001982674194103806,-0.24538656454885438,-0.05501861651967195,8.819431124862387e-05,0.5018863251852641,0.6930860489217618
admission_source_id,admission_source_id_5,-0.13091332505364636,0.13091332505364636,0.12153786959504265,-0.2966293589872141,0.0348027088799214,2.099312448755608e-05,0.500500721577621,0.6931326292348956
admission_source_id,admission_source_id_6,-0.04350207688426926,0.04350207688426926,0.46842700025643147,-0.16110011737053798,0.07409596360199946,0.00017658711644663594,0.5022143581695695,0.6930247796980571
admission_source_id,admission_source_id_7,-9.949883040232828e-05,9.949883040232828e-05,0.9973959354015716,-0.05985236725073758,0.05965336958993293,0.0007338289502097917,0.5157479292927436,0.6926385290920941
admission_source_id,admission_source_id_8,0.00026802968504560014,0.00026802968504560014,0.9996599912434323,-1.2325134123816621,1.2330494717517535,0.0,0.5,0.6931471805599453
admission_source_id,admission_source_id_9,-0.0002788178982805692,0.0002788178982805692,0.9990170363509032,-0.44386334501808133,0.44330570922152024,0.0,0.5,0.6931471805599453
admission_source_id,admission_source_id_10,-0.0001659522013331682,0.0001659522013331682,0.9998943039611901,-2.4555397216654136,2.455207817262747,0.0,0.5,0.6931471805599453
admission_source_id,admission_source_id_11,-0.00010012878593962381,0.00010012878593962381,0.9999586920765189,-3.790795574085932,3.790595316514053,0.0,0.5,0.6931471805599453
admission_source_id,admission_source_id_13,0.00015563573410798992,0.00015563573410798992,0.999954595544041,-5.360330154555873,5.36064142602409,0.0,0.5,0.6931471805599453
admission_source_id,admission_source_id_14,-9.893400434255516e-05,9.893400434255516e-05,0.9999603763388116,-3.9047685493311004,3.904570681322415,0.0,0.5,0.6931471805599453
admission_source_id,admission_source_id_17,-0.25863973294798,0.25863973294798,3.2473583755354696e-07,-0.35786460314668667,-0.1594148627492733,0.0002051714511737135,0.5040968763897107,0.6930049665470328
admission_source_id,admission_source_id_20,0.0013775624896773993,0.0013775624896773993,0.9938147780302955,-0.34691562193975095,0.34967074691910577,0.0,0.5,0.6931471805599453
admission_source_id,admission_source_id_22,-0.00014726924155317623,0.00014726924155317623,0.999825650726412,-1.3210937177579452,1.3207991792748388,0.0,0.5,0.6931471805599453
admission_source_id,admission_source_id_25,-0.0001052733365188431,0.0001052733365188431,0.9999564067684008,-3.7766325840303234,3.776422037357286,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_AllergyandImmunology,0.00015028561454734536,0.00015028561454734536,0.9998128424229287,-1.25560004304551,1.255900614274605,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Anesthesiology,0.00016840656899095376,0.00016840656899095376,0.9998003371856248,-1.3188630171315059,1.3191998302694876,0.0,0.5,0.6931471805599453
medical_specialty,medical_specialty_Anesthesiology-Pediatric,-2.965185993573205e-05,2.965185993573205e-05,0.9999703720121795,-1.5651332488980703,1.565073945178199,0.0,0.5,0.6931471805599453
